       IVS Analysis Report for R11036 ($22JAN31XA)
       This report is the official IVS analysis report that corresponds to
       the database maintained by the IVS Data Centers for this session.
   (Analyzed by Sergei Bolotin, NVI, Inc. / NASA Goddard Space Flight Center.
    Spoolfile source: interactive solve/nuSolve analysis.)

Problems: AGGO     Did not particiate.
          NYALES20 (Ny/N): Lots of non-detections in X-band.
          ONSALA60 (On/X): Antenna control issues (18:07-07:48).
          ZELENCHK (Zc/R): Intensive (06:53-08:03). Antenna problem (11:00-12:42).

Parameterization comments: None.

Other comments: This is a second submission with resolved subambuigities in both bands.

-----------------------------------------

Session statistics

  Observations:    16924 scheduled
                   14267 correlated (in database)
                   10706 recoverable (usable)
                   10413 used
  Session fit:        29.292 ps

-----------------------------------------

Station Performance

                           Number of Observations

                    Scheduled   Recoverable*        Used   % of scheduled
                                                              obs used

  RAEGSMAR-SVETLOE              76            75            71        93.4%
  RAEGSMAR-WETTZ13N            266           263           254        95.5%
  RAEGSMAR-WETTZELL            276           270           258        93.5%
  RAEGSMAR-YARRA12M             14            12            12        85.7%
  RAEGSMAR-ZELENCHK            192           169           165        85.9%
  SVETLOE-WETTZ13N             169           169           169       100.0%
  SVETLOE-WETTZELL             151           149           144        95.4%
  SVETLOE-YARRA12M              43            40            39        90.7%
  SVETLOE-ZELENCHK             191           166           165        86.4%
  WETTZ13N-WETTZELL            366           254           209        57.1%
  WETTZ13N-YARRA12M             58            55            50        86.2%
  WETTZ13N-ZELENCHK            278           245           245        88.1%
  WETTZELL-YARRA12M             33            30            29        87.9%
  WETTZELL-ZELENCHK            293           251           250        85.3%
  YARRA12M-ZELENCHK             75            62            59        78.7%
  -----------------      ---------   -----------    ----------       ------
  Baseline Total             16924         10706         10413        61.5%

  * Recoverable: can be included in the solution.

  MISSED:     Baseline was scheduled, but at least one of the sites
              did not observe.
  NOT CORR:   Baseline was scheduled but not correlated.
  NO DATA:    The baseline's stations were both correlated,
              but they did not observe together.
  DESELECTED: Usable data was generated for the baseline,
              but the analyst rejected it.

